geneID	Endocrine	Immune	Exocrine	ActivatedStroma	ClassicalTumor	NormalStroma	BasalTumor
ACRC	2.554911e-02	1.390596e+00	5.258791e-02	0	4.917533e-01	6.884342e-01	4.515900e-01
ACRV1	0	0	0	0	1.075587e-01	0	3.940038e-01
ACSBG1	7.796457e-01	3.770911e-01	2.154341e-02	3.167983e-01	3.545194e-01	1.124564e+00	8.850873e-02
ACSBG2	3.340156e-03	4.885238e-01	2.311959e-01	0	2.136514e-01	0	0
ACSF2	2.245342e-01	1.014350e+00	8.502909e-01	8.262251e-01	9.365596e-01	5.121293e-01	1.366349e+00
ACSF3	7.119023e-01	1.148835e+00	9.006375e-01	6.381867e-01	9.251186e-01	7.950655e-01	8.875323e-01
ACSL1	1.455002e+00	1.450334e+00	3.550460e-01	9.867170e-01	6.531393e-01	9.759518e-01	5.269112e-01
ACSL3	7.126474e-01	4.612853e-01	7.998091e-01	9.010532e-01	1.000903e+00	7.706354e-01	9.492080e-01
ACSL4	7.745862e-01	9.742034e-01	5.017178e-01	1.143797e+00	6.836587e-01	8.589801e-01	5.016257e-01
ACSL5	0	4.124449e-01	6.967277e-01	4.873647e-01	1.935161e+00	8.195325e-01	1.484498e+00
ACSL6	2.334112e+00	2.606601e+00	2.320982e+00	0	0	9.926232e-01	0
ACSM1	4.934060e-01	3.944258e-02	1.268888e+00	5.997552e-02	1.060652e+00	4.732225e-02	2.533080e-01
ACSM2A	4.783343e-01	5.032818e-01	2.789001e-01	0	0	1.210043e-01	0
ACSM2B	2.829906e-01	2.225796e-01	5.285424e-01	0	0	5.681750e-02	0
ACSM3	8.824172e-01	3.728099e-01	2.426473e+00	0	1.194661e+00	9.930145e-01	1.213982e-01
ACSM4	2.434520e-02	1.832058e-02	0	0	0	0	2.203530e-02
ACSM5	2.411369e+00	2.155922e+00	8.677149e-01	2.290707e-01	4.033042e-02	1.109541e+00	0
ACSS1	1.072940e+00	1.896869e+00	2.246265e+00	3.205202e-01	1.456420e+00	1.252851e+00	2.204920e-01
ACSS2	8.021803e-01	8.122220e-01	6.525780e-01	4.478575e-01	1.400725e+00	9.615730e-01	8.931938e-01
ACSS3	1.327559e+00	1.297426e+00	9.589975e-01	1.694945e+00	2.182035e-02	9.366433e-01	0
ACTA1	2.521973e-01	0	8.328301e-02	0	1.569476e-01	1.038902e+00	0
ACTA2	1.388908e+00	1.101063e+00	1.105186e+00	2.867795e+00	8.308603e-01	2.268134e+00	6.357218e-01
ACTB	1.078783e+00	1.321690e+00	9.778145e-01	1.697763e+00	1.602491e+00	1.525329e+00	1.892668e+00
ACTBL2	0	0	5.099017e-02	1.069621e+00	2.469901e-01	5.972925e-02	3.860027e-01
ACTC1	2.106913e+00	7.240928e-01	6.134502e-01	0	9.063486e-02	3.755588e+00	0
ACTG1	1.098742e+00	1.419761e+00	1.315298e+00	1.545144e+00	1.446471e+00	1.181996e+00	1.821203e+00
ACTG2	0	0	3.454481e-01	1.992258e+00	5.471317e-01	4.546203e+00	4.881670e-01
ACTL6A	1.924236e-01	3.992946e-01	6.552868e-01	8.775028e-01	7.827194e-01	5.379633e-01	1.172341e+00
ACTL6B	8.215078e+00	1.464860e-02	0	0	0	7.267156e-02	0
ACTL7A	2.906134e-03	0	0	8.090857e-03	0	0	0
ACTL7B	0	0	0	0	8.504888e-02	0	0
ACTL8	0	1.048506e+00	0	0	4.240652e-01	0	0
ACTL9	5.300163e-02	0	0	0	0	0	0
ACTN1	7.416506e-01	5.407274e-01	6.074598e-01	1.673635e+00	1.039492e+00	1.461220e+00	1.147796e+00
ACTN2	9.074816e-01	3.301555e-01	1.024954e+00	3.722748e-01	0	1.307225e+00	0
ACTN3	1.003201e+00	4.673818e-01	0	4.287321e-01	3.452148e-02	6.056753e-01	0
ACTN4	8.224139e-01	6.657589e-01	8.390207e-01	1.248777e+00	1.381948e+00	7.395171e-01	1.802881e+00
ACTR10	1.026447e+00	7.822047e-01	8.090153e-01	9.528052e-01	8.722175e-01	9.147348e-01	9.999146e-01
ACTR1A	1.214411e+00	1.024818e+00	8.432822e-01	1.032851e+00	1.032002e+00	1.238482e+00	1.145280e+00
ACTR1B	8.724179e-01	8.161362e-01	9.280141e-01	7.793436e-01	1.026891e+00	9.213087e-01	1.185509e+00
ACTR2	6.562270e-01	1.204782e+00	8.209921e-01	1.251188e+00	1.032105e+00	1.001852e+00	9.636243e-01
ACTR3	5.636462e-01	1.113207e+00	7.729933e-01	1.218369e+00	1.039208e+00	9.000171e-01	1.111799e+00
ACTR3B	1.304971e+00	8.050346e-01	8.909161e-01	3.024786e-01	5.205077e-01	7.655350e-01	5.236607e-01
ACTR3C	6.246639e-01	9.254944e-02	1.309728e+00	1.982473e-01	3.246981e-01	2.918635e-01	7.508810e-01
