sampleID	D16.16_RICKMAN-HEAD-AND-NECK-CANCER-D	D8.3_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D6.6_GNF2-SPRR1B	D13.5_SINGH-NFE2L2-TARGETS	D11.9_GNF2-BUB1	D15.5_FARMER-BREAST-CANCER-CLUSTER-5	D15.4_BARRIER-CANCER-RELAPSE-NORMAL-SAMPLE-DN	D9.7_EPITHELIAL-CELL-DIFFERENTIATION	D10.8_BIOCARTA-TCAPOPTOSIS-PATHWAY	D8.1_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC
TCGA-37-4133-01A-01R-1100-07	0	3.646948e-01	3.266493e-01	1.285764e+00	1.553157e-01	0	6.516569e-01	5.730575e-01	2.540187e-01	6.203839e+00
TCGA-37-4135-01A-01R-1100-07	0	0	1.832572e-01	3.640523e-01	1.407440e+00	3.001615e-02	4.647238e-01	2.926401e-01	2.798747e-01	6.685256e+00
TCGA-37-4141-01A-02R-1100-07	0	7.164848e-01	0	2.017932e-01	1.479971e+00	5.893002e-01	8.039195e-01	0	2.593464e-01	4.983336e+00
TCGA-37-5819-01A-01R-1635-07	1.290299e-01	5.729897e-01	0	3.452217e-01	1.731830e+00	9.028162e-01	1.274024e+00	0	4.831135e-01	5.028039e+00
TCGA-37-A5EL-01A-11R-A26W-07	0	3.868779e-02	4.517756e-01	7.655770e-01	0	7.026224e-01	1.680994e+00	4.899972e-02	0	5.191355e+00
TCGA-37-A5EM-01A-21R-A27Q-07	0	1.096863e-01	1.805138e-01	3.832435e-01	0	1.655518e+00	1.014256e+00	0	3.445083e-01	3.429424e+00
TCGA-37-A5EN-01A-21R-A26W-07	1.261986e-01	4.784320e-01	2.734761e-01	1.130488e+00	2.407689e-01	4.227166e-01	1.131770e+00	6.627436e-01	6.278193e-01	3.140826e+00
TCGA-39-5011-01A-01R-1443-07	0	1.074537e+00	0	4.607344e-01	3.302910e-01	3.850491e-01	1.609386e+00	0	5.691607e-01	6.509264e+00
TCGA-39-5016-01A-01R-1443-07	0	4.625854e-01	5.958927e-02	1.352350e+00	0	0	5.240213e-01	5.640819e-01	4.038782e-01	4.427715e+00
TCGA-39-5019-01A-01R-1820-07	0	1.084971e+00	6.446973e-01	7.767335e-01	3.383945e-01	8.940268e-01	6.465300e-01	4.502251e-01	3.588249e-01	3.516600e+00
