sampleID	D6.6_SU-KIDNEY	D7.6_REACTOME-INITIAL-TRIGGERING-OF-COMPLEMENT	D9.6_BIOCARTA-KREB-PATHWAY	D12.7_SABATES-COLORECTAL-ADENOMA-SIZE-UP	D8.2_FARMER-BREAST-CANCER-CLUSTER-5	D11.11_ACUTE-INFLAMMATORY-RESPONSE	D10.6_AIGNER-ZEB1-TARGETS	D7.1_chryp11
TCGA-B0-5075-01A-01R-1334-07	7.562269e-02	1.194845e+00	1.150769e-01	1.434753e+00	5.186094e-01	7.325342e-02	0	6.906828e+00
TCGA-B0-5077-01A-01R-1334-07	9.360721e-02	5.755123e-01	2.532109e-01	9.912052e-01	1.477705e+00	0	2.577715e-01	4.895868e+00
TCGA-B0-5080-01A-01R-1503-07	0	7.752485e-01	2.412474e-01	0	3.653969e+00	0	2.702439e-01	2.263407e+00
TCGA-B0-5081-01A-01R-1334-07	0	1.039430e+00	0	9.772584e-01	2.621780e+00	1.162912e-02	0	3.189825e+00
TCGA-B0-5083-01A-02R-1420-07	6.002861e-02	3.366536e-01	2.684125e+00	0	2.874283e+00	0	6.264033e-01	7.092824e-01
TCGA-B0-5084-01A-01R-1334-07	0	1.217140e+00	6.166817e-01	1.241528e+00	1.711173e+00	0	5.673330e-01	1.348756e+00
TCGA-B0-5085-01A-01R-1334-07	3.440658e-01	4.082844e-01	1.492755e-01	1.951078e+00	7.696067e-01	0	0	1.839340e+00
TCGA-B0-5088-01A-01R-1334-07	2.769987e-01	7.216857e-01	8.910510e-02	1.258588e+00	1.972601e+00	5.584773e-03	0	2.844402e+00
TCGA-B0-5092-01A-01R-1420-07	3.953627e-02	1.012237e+00	0	1.700744e+00	1.712752e+00	0	0	3.054244e+00
TCGA-B0-5094-01A-01R-1420-07	0	1.394690e+00	4.473222e-01	9.193963e-01	1.733201e+00	1.811059e-01	6.103201e-01	5.315139e+00
TCGA-B0-5095-01A-01R-1420-07	1.428075e-02	8.761036e-01	1.868620e-01	3.742203e-01	3.371443e+00	4.421499e-02	3.553664e-01	2.733003e+00
TCGA-B0-5096-01A-01R-1420-07	0	1.065138e+00	7.522940e-01	0	3.065383e+00	0	1.266588e-01	3.321266e+00
TCGA-B0-5097-01A-01R-1420-07	0	9.760598e-01	3.043902e-01	8.507062e-04	3.518940e+00	1.877136e-01	2.933007e-03	3.922358e+00
TCGA-B0-5098-01A-01R-1420-07	0	1.036448e+00	1.235515e+00	8.463408e-01	1.637537e+00	0	9.684258e-01	1.091399e+00
TCGA-B0-5099-01A-01R-1420-07	2.530544e-01	0	3.852185e-01	8.861730e-01	1.018237e+00	0	2.721263e-01	4.457842e+00
TCGA-B0-5100-01A-01R-1420-07	0	5.602415e-01	8.249910e-01	4.981919e-01	3.328210e+00	0	1.340017e+00	0
TCGA-B0-5102-01A-01R-1420-07	0	6.556914e-01	4.024737e-01	1.089268e+00	9.930010e-01	3.726131e-02	9.141357e-02	5.203753e+00
TCGA-B0-5104-01A-01R-1420-07	3.111924e-01	5.881310e-02	5.673179e-01	8.655525e-01	9.933098e-01	0	2.260251e-01	5.092105e+00
TCGA-B0-5106-01A-01R-1420-07	0	6.984563e-01	3.140249e-02	1.010763e+00	2.148724e+00	4.045547e-02	2.454176e-01	4.445513e+00
TCGA-B0-5107-01A-01R-1420-07	0	1.504219e+00	1.218832e-01	2.236666e+00	4.274395e-02	0	0	3.515631e+00
TCGA-B0-5108-01A-01R-1420-07	0	8.765755e-01	1.934660e-01	2.983904e-01	3.453631e+00	7.550393e-02	8.757584e-02	3.606126e+00
