sampleID	D9.8_GNF2-TTN	D10.8_REACTOME-BETA-DEFENSINS	D11.10_MODULE-432	D11.1_MIPS-UTX-MLL2-3-COMPLEX	D13.5_CHASSOT-SKIN-WOUND	D11.3_chr11q11	D11.4_MANNOSYLTRANSFERASE-ACTIVITY	D11.5_EPITHELIAL-CELL-DIFFERENTIATION	D10.6_BIOCARTA-TCAPOPTOSIS-PATHWAY	D11.2_GNF2-GLTSCR2
TCGA-EJ-7330-11A-01R-2118-07	9.059254e-01	1.083997e+00	1.667870e-02	2.637513e+00	1.432794e+00	3.708195e-01	7.558904e-01	1.731310e+00	6.029597e-01	1.014986e+00
TCGA-EJ-7330-01A-11R-2118-07	3.770158e-01	8.724070e-01	1.034289e-02	2.841814e+00	1.250101e+00	3.978164e-01	1.272642e+00	1.383019e+00	8.334656e-01	1.055686e+00
TCGA-EJ-7331-11A-01R-2118-07	1.239257e+00	6.729146e-01	0	2.991073e+00	8.595266e-01	6.201947e-01	1.594879e+00	1.505424e+00	3.644821e-01	6.934192e-01
TCGA-EJ-7331-01A-11R-2118-07	7.208138e-01	4.510683e-01	0	3.239191e+00	1.029841e+00	3.006891e-01	2.074329e+00	8.459980e-01	7.180615e-01	9.395852e-01
TCGA-EJ-7781-11A-01R-2118-07	1.160643e+00	9.504324e-01	0	3.065972e+00	1.114337e+00	3.056511e-01	6.655896e-01	1.775090e+00	5.376418e-01	9.562134e-01
TCGA-EJ-7781-01A-11R-2118-07	3.512898e-01	2.595008e-01	0	3.055471e+00	8.951079e-01	6.614845e-01	1.697767e+00	9.332297e-01	1.176705e+00	9.935756e-01
TCGA-EJ-7782-11A-01R-2118-07	3.619309e-01	7.023680e-01	2.369511e-01	2.584649e+00	1.293278e+00	4.141411e-01	1.425006e+00	1.776374e+00	6.472860e-01	9.717368e-01
TCGA-EJ-7782-01A-11R-2118-07	2.774697e-01	4.942861e-01	4.204225e-01	2.946110e+00	7.788063e-01	5.487320e-01	1.158490e+00	5.446163e-01	8.840342e-01	1.889657e+00
TCGA-EJ-7783-11A-01R-2118-07	1.865544e+00	1.375790e+00	0	2.422369e+00	1.253233e+00	5.272057e-01	5.901371e-01	1.108365e+00	1.965531e-01	1.254954e+00
TCGA-EJ-7783-01A-11R-2118-07	1.432551e-01	2.979589e-01	8.438226e-02	3.165339e+00	9.676359e-01	1.528007e+00	2.901655e-01	1.743816e+00	6.078588e-01	1.488462e+00
TCGA-EJ-7784-11A-01R-2118-07	3.100229e-01	1.038113e+00	1.444678e-01	2.936478e+00	1.174460e+00	2.573707e-01	1.099956e+00	2.121833e+00	4.697559e-01	8.007372e-01
TCGA-EJ-7784-01A-11R-2118-07	3.139895e-02	2.048503e-01	1.380771e-01	2.830628e+00	4.595397e-01	2.074892e+00	3.884752e-01	5.068232e-01	1.035500e+00	2.074684e+00
TCGA-EJ-7785-11A-01R-2118-07	1.057891e+00	7.515773e-01	0	2.751131e+00	1.033684e+00	5.661310e-01	1.536029e+00	1.730265e+00	2.352682e-01	9.074253e-01
TCGA-EJ-7785-01A-11R-2118-07	4.937416e-01	4.127526e-01	1.081838e-02	2.891544e+00	9.554699e-01	1.826068e+00	6.500136e-01	5.587264e-01	1.435915e+00	7.979376e-01
TCGA-EJ-7786-11A-01R-2118-07	9.818017e-01	8.231868e-01	0	3.024588e+00	1.472476e+00	4.110922e-01	8.782817e-01	1.504032e+00	6.736356e-01	7.940202e-01
TCGA-EJ-7786-01A-11R-2118-07	1.015343e+00	4.249515e-01	0	2.733077e+00	1.019193e+00	8.029091e-01	2.425468e+00	5.815051e-01	6.006767e-01	7.520029e-01
TCGA-EJ-7788-01A-11R-2118-07	8.246861e-01	1.710729e-01	4.641445e-01	2.651286e+00	4.788620e-01	1.667392e+00	4.047608e-01	4.470499e-01	9.085487e-01	2.028991e+00
TCGA-EJ-7789-11A-01R-2118-07	3.186891e-01	1.177085e+00	2.478491e-01	2.682266e+00	1.164138e+00	2.369834e-01	1.481285e+00	2.203608e+00	2.581954e-01	8.237012e-01
TCGA-EJ-7789-01A-11R-2118-07	3.797905e-01	6.615993e-01	3.892338e-02	3.557928e+00	3.350048e-01	1.995593e-01	1.388225e+00	0	0	3.448367e+00
TCGA-EJ-7791-01A-11R-2118-07	6.437664e-01	5.717298e-01	2.623766e-01	2.604396e+00	1.219335e+00	4.050722e-01	1.425519e+00	1.365173e+00	1.027951e+00	8.973895e-01
TCGA-EJ-7792-11A-01R-2118-07	5.757877e-01	8.995203e-01	8.437239e-02	2.790327e+00	1.079751e+00	4.020918e-01	1.030920e+00	1.934426e+00	6.798259e-01	9.558638e-01
TCGA-EJ-7792-01A-11R-2118-07	1.340555e+00	3.144002e-01	1.599143e-01	2.316994e+00	1.151072e+00	9.690058e-01	1.385350e+00	2.082416e-01	1.547446e+00	8.109720e-01
TCGA-EJ-7793-11A-01R-2263-07	6.853257e-01	9.510611e-01	4.999367e-03	2.789533e+00	1.123712e+00	5.141372e-01	1.424948e+00	1.984024e+00	3.549880e-01	7.106294e-01
TCGA-EJ-7793-01A-31R-2263-07	3.657450e-01	7.708738e-01	2.728958e-01	2.434129e+00	5.052743e-01	2.082251e+00	1.347168e+00	1.503242e+00	3.332368e-01	8.682111e-01
TCGA-EJ-7794-11A-01R-2118-07	3.913084e-01	1.324942e+00	5.027736e-02	2.817467e+00	1.395534e+00	8.011466e-02	6.102691e-01	1.817856e+00	1.007997e+00	8.314200e-01
TCGA-EJ-7794-01A-11R-2118-07	3.708846e-01	4.258355e-01	0	2.698588e+00	1.019476e+00	3.591543e-01	1.675004e+00	9.682290e-01	1.621990e+00	8.209374e-01
