sampleID	D12.10_GNF2-SPRR1B	D6.2_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D19.8_FARMER-BREAST-CANCER-CLUSTER-5	D9.7_REACTOME-CYTOSOLIC-SULFONATION-OF-SMALL-MOLECULES	D18.18_REACTOME-DOPAMINE-NEUROTRANSMITTER-RELEASE-CYCLE	D17.8_WEBER-METHYLATED-ICP-IN-SPERM-DN	D18.17_GNF2-SPINK1	D19.16_CHROMOSOME-CONDENSATION	D18.12_MARTINELLI-IMMATURE-NEUTROPHIL-DN	D17.6_chr11q11
TCGA-BR-8373-01A-11R-2343-13	7.338298e-03	2.364706e+00	2.587991e-01	4.157635e-01	7.294961e-01	0	1.293170e+00	0	3.551658e-01	4.717264e-02	4.080374e-01
TCGA-BR-8380-01A-11R-2343-13	0	3.964193e+00	3.611831e-01	2.936920e-01	9.691794e-01	6.929803e-02	0	0	4.266501e-02	0	2.512111e-02
TCGA-BR-8381-01A-11R-2402-13	0	1.845629e+00	6.348034e-01	5.531294e-01	1.961155e-01	0	5.225537e-02	0	1.874512e-01	0	1.242240e+00
TCGA-BR-8382-01A-11R-2402-13	1.689504e-02	1.574999e+00	3.927171e-01	5.870665e-01	4.243181e-01	0	0	0	7.084908e-02	4.927155e-02	1.511597e-01
TCGA-BR-8384-01A-21R-2402-13	0	4.122603e+00	4.203349e-01	2.623947e-01	0	0	0	9.809813e-02	6.603273e-02	0	6.489844e-01
TCGA-BR-8483-01A-31R-2402-13	2.207088e-02	1.323272e+00	0	3.344346e-01	4.155748e-01	0	3.417374e-01	0	6.342873e-01	0	6.434909e-01
TCGA-BR-8484-01A-11R-2402-13	0	1.787033e+00	4.979365e-01	4.076604e-01	1.656770e-01	1.441912e-01	3.227818e-02	1.687366e-01	5.008701e-02	0	1.286397e+00
TCGA-BR-8485-01A-11R-2402-13	0	2.075024e+00	3.660250e-01	3.676233e-01	7.454248e-01	0	1.279564e+00	3.085978e-01	1.287010e-01	9.472090e-02	1.654530e-01
TCGA-BR-8486-01A-31R-2402-13	0	1.810013e+00	3.349508e-01	2.308592e-01	1.118330e+00	0	5.618621e-01	1.834956e-01	1.609629e-01	6.015871e-01	4.637175e-01
TCGA-BR-8487-01A-11R-2402-13	0	6.865160e-01	1.296665e-01	6.112557e-01	4.397586e-01	0	0	0	0	0	8.426165e-01
TCGA-BR-8588-01A-11R-2402-13	0	2.465137e+00	4.003645e-01	4.902967e-01	6.918142e-01	0	0	4.023968e-01	5.765616e-02	2.076859e-01	1.988766e-01
TCGA-BR-8589-01A-11R-2402-13	0	4.677999e-01	5.476843e-01	7.002424e-02	0	0	0	0	7.015024e-01	1.424189e-01	1.437274e+00
TCGA-BR-8590-01A-11R-2402-13	0	2.751315e+00	4.180353e-01	5.263333e-01	3.988232e-01	0	2.854383e-01	2.129624e-01	1.634494e-01	0	5.801269e-01
TCGA-BR-8591-01A-11R-2402-13	0	1.563892e+00	4.009390e-01	5.170350e-01	2.308291e-01	0	0	0	0	0	5.730328e-01
TCGA-BR-8592-01A-11R-2402-13	0	4.037911e+00	5.034900e-01	2.048231e-01	1.056961e+00	2.516490e-02	1.589715e-03	1.149730e-01	0	0	3.108805e-01
TCGA-BR-8676-01A-11R-2402-13	0	1.102125e+00	5.942920e-02	3.587047e-02	0	0	0	0	1.021758e-01	0	8.719352e-01
TCGA-BR-8677-01A-11R-2402-13	6.186376e-02	2.521775e+00	5.829823e-01	4.743378e-01	5.067651e-01	0	1.437842e-01	0	0	0	3.421904e-01
