sampleID	D16.12_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D6.1_INAMURA-LUNG-CANCER-SCC-DN	D13.3_FARMER-BREAST-CANCER-CLUSTER-5	D13.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.7_GNF2-SPRR1B	D6.4_MIPS-UTX-MLL2-3-COMPLEX	D7.1_chr11q25	D11.8_chr11q11	D16.8_REACTOME-BETA-DEFENSINS	D16.15_SASSON-FSH-RESPONSE	D16.14_SINGH-NFE2L2-TARGETS
TCGA-49-6745-11A-01R-1858-07	5.099549e-01	6.527031e+00	0	4.925770e-01	0	0	8.421273e-01	0	4.105634e-02	0	0
TCGA-49-6745-01A-11R-1858-07	3.461358e-01	2.409631e+00	1.990220e+00	3.421892e-01	3.109928e-01	0	3.118501e+00	0	4.659330e-02	0	0
TCGA-49-6761-11A-01R-1949-07	0	6.633056e+00	0	8.507625e-01	0	3.030374e-01	1.363066e+00	0	2.438132e-01	0	0
TCGA-49-6761-01A-31R-1949-07	0	8.511109e-01	1.873198e+00	9.307292e-01	0	2.977481e-01	4.250177e+00	1.433153e-01	1.854552e-01	0	0
TCGA-49-6767-01A-11R-1858-07	0	0	2.449987e+00	8.734560e-01	0	1.700783e-01	2.981508e+00	0	0	0	0
TCGA-49-AAQV-01A-11R-A39D-07	2.812114e-01	7.140064e-01	8.233501e-01	1.707246e+00	5.119364e-01	1.474623e+00	4.287520e+00	5.876879e-01	9.016941e-01	2.055368e-02	4.496323e-02
TCGA-49-AAR0-01A-21R-A39D-07	1.118392e-01	3.413989e+00	2.690830e-01	2.434250e+00	2.952925e-01	2.255246e+00	1.749782e+00	7.646912e-01	3.388115e-02	0	3.726283e-01
TCGA-49-AAR2-01A-11R-A39D-07	0	1.779347e+00	1.079635e-01	3.430820e+00	3.329161e-01	2.347770e+00	2.083794e+00	8.256655e-01	0	0	3.587783e-01
TCGA-49-AAR3-01A-11R-A41B-07	0	7.073701e-01	2.633656e+00	1.634040e+00	2.429729e-01	4.556566e-01	2.456170e+00	0	0	0	2.230766e-01
TCGA-49-AAR4-01A-12R-A41B-07	4.944060e-01	8.839203e-01	1.584119e+00	1.520885e+00	6.684407e-01	8.681359e-01	3.963873e+00	9.620978e-02	1.341994e-01	0	0
