sampleID	D7.6_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.3_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D15.14_CORNIFIED-ENVELOPE	D12.9_WEBER-METHYLATED-ICP-IN-SPERM-UP	D12.4_GNF2-GLTSCR2	D14.13_ZHOU-PANCREATIC-EXOCRINE-PROGENITOR	D11.10_SCHLESINGER-METHYLATED-IN-COLON-CANCER	D15.12_chryq11	D12.1_MIPS-UTX-MLL2-3-COMPLEX	D12.2_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-DF-A2KN-01A-11R-A180-07	7.160277e-01	1.397172e+00	1.083792e+00	0	0	1.220656e+00	2.500633e-01	2.396786e-01	7.356805e-01	2.696536e+00	1.571027e+00
TCGA-DF-A2KR-01A-11R-A180-07	2.979396e-01	6.968360e-01	3.473193e-01	0	6.667648e-01	1.638881e+00	4.698052e-01	0	1.626493e-01	3.728935e+00	1.685082e+00
TCGA-DF-A2KU-01A-11R-A180-07	6.886221e-01	2.099142e+00	1.053073e+00	0	3.559156e-01	1.281741e+00	8.464551e-02	6.414966e-01	0	7.323144e-01	2.686732e+00
TCGA-DF-A2KV-01A-11R-A180-07	1.207988e+00	8.594217e-01	7.105615e-02	0	1.009580e-01	1.751557e+00	2.855461e-01	3.049805e-01	3.917498e-01	2.652037e+00	1.558823e+00
TCGA-DF-A2KY-01A-21R-A213-07	0	1.595613e+00	1.364934e+00	0	0	1.843679e+00	0	0	0	1.373662e+00	2.967069e+00
TCGA-DF-A2KZ-01A-11R-A213-07	0	1.227282e+00	1.560803e+00	2.303103e-01	0	1.144800e+00	7.271255e-01	7.557472e-02	1.412791e-01	1.808486e+00	2.064800e+00
TCGA-DF-A2L0-01A-11R-A180-07	1.476614e+00	1.032180e+00	6.412937e-01	0	0	2.077407e+00	0	4.282149e-01	0	6.589267e-01	2.148441e+00
TCGA-DI-A1BU-01A-11R-A137-07	1.923904e-01	1.176752e+00	1.302417e+00	0	2.435781e-01	9.552074e-01	6.468226e-01	5.358961e-01	2.165554e-01	1.814496e+00	2.735475e+00
TCGA-DI-A1C3-01A-41R-A137-07	1.363534e+00	1.472556e+00	2.590492e+00	4.978200e-01	4.324294e-02	8.245600e-01	0	1.696770e+00	3.543169e-01	1.901816e+00	0
TCGA-DI-A2QT-01A-12R-A19W-07	0	7.345026e-01	5.278461e-01	0	2.875806e-01	1.967001e+00	1.110336e-01	0	2.431880e+00	2.263453e+00	2.050782e+00
