sampleID	D11.8_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D8.6_DOANE-BREAST-CANCER-ESR1-DN	D11.3_FARMER-BREAST-CANCER-CLUSTER-5	D11.5_NAKAYAMA-SOFT-TISSUE-TUMORS-PCA2-DN	D11.10_REACTOME-GLUCURONIDATION	D11.1_MODULE-352	D11.2_NADH-DEHYDROGENASE-COMPLEX	D9.8_SMID-BREAST-CANCER-RELAPSE-IN-LIVER-DN	D9.2_FINETTI-BREAST-CANCERS-KINOME-BLUE
TCGA-A2-A4RX-01A-11R-A266-07	3.616077e-01	1.690506e+00	1.478713e+00	7.885467e-01	0	3.620470e+00	2.669056e+00	0	6.035449e-01
TCGA-A2-A4RY-01A-31R-A266-07	2.838190e-01	1.318603e+00	8.545035e-01	1.235340e+00	0	2.941509e+00	2.635828e+00	0	2.772468e+00
TCGA-A2-A4S0-01A-21R-A266-07	0	1.638661e-02	7.123213e-01	5.390220e-01	0	3.238295e+00	3.252421e+00	2.217211e+00	1.709261e+00
TCGA-A2-A4S1-01A-21R-A266-07	1.882040e-01	0	1.511457e+00	1.201159e+00	0	3.084450e+00	3.743715e+00	1.411527e-01	0
TCGA-A2-A4S2-01A-12R-A266-07	5.019109e-01	2.877759e-01	1.044894e+00	7.039964e-01	0	3.103384e+00	2.981724e+00	8.969863e-01	2.602368e+00
TCGA-A2-A4S3-01A-21R-A266-07	4.981428e-01	7.175944e-03	9.874476e-01	3.120115e-01	2.110958e-01	3.383026e+00	3.500838e+00	5.170587e-03	2.674157e+00
TCGA-A7-A0CD-01A-11R-A00Z-07	0	0	8.726272e-01	5.458636e-01	0	3.643838e+00	3.009466e+00	1.204283e+00	2.837606e+00
TCGA-A7-A0CE-11A-21R-A089-07	2.712165e-01	1.586426e+00	5.680531e-01	1.494768e+00	1.041305e-01	2.804673e+00	2.662362e+00	5.298127e-01	1.980259e+00
TCGA-A7-A0CE-01A-11R-A00Z-07	3.766214e-01	1.674801e+00	9.096684e-01	6.223761e-01	0	3.748851e+00	3.121628e+00	1.711677e-01	8.396202e-01
TCGA-A7-A0CG-01A-12R-A056-07	4.532076e-01	6.087790e-01	9.581112e-01	1.180621e+00	2.490406e-01	3.632079e+00	2.083928e+00	3.697358e-01	1.555419e+00
TCGA-A7-A0CH-11A-32R-A089-07	2.813650e-01	1.250410e+00	5.312511e-01	2.119515e+00	3.340956e-01	2.732308e+00	2.620033e+00	4.460849e-01	1.413166e+00
TCGA-A7-A0CH-01A-21R-A00Z-07	4.797133e-02	3.562801e-01	1.332005e+00	2.066470e-01	0	3.638203e+00	2.691916e+00	1.137080e+00	1.860407e+00
TCGA-A7-A0CJ-01A-21R-A00Z-07	2.577731e-01	2.345800e-01	1.048570e+00	0	0	3.649478e+00	3.445458e+00	4.764025e-01	2.796127e+00
TCGA-A7-A0D9-11A-53R-A089-07	4.391791e-02	6.615612e-01	5.543935e-01	2.999571e+00	0	3.687834e+00	2.215821e+00	3.937478e-01	2.780227e-01
TCGA-A7-A0D9-01A-31R-A056-07	0	4.927004e-01	1.121400e+00	7.946793e-01	6.006659e-02	3.824972e+00	2.920740e+00	2.125182e-01	2.607296e+00
TCGA-A7-A0DA-01A-31R-A115-07	1.733646e-01	1.611555e+00	1.546724e+00	1.127206e-01	0	3.872313e+00	3.234510e+00	0	1.837927e-01
TCGA-A7-A0DB-11A-33R-A089-07	1.169561e-01	2.055486e-01	7.293720e-01	2.854579e+00	0	3.723554e+00	2.383410e+00	4.096713e-01	5.335273e-02
TCGA-A7-A0DB-01A-11R-A00Z-07	1.720210e-01	4.173160e-01	1.030926e+00	1.063683e+00	5.239701e-02	3.244736e+00	2.829088e+00	6.632700e-01	1.830659e+00
TCGA-A7-A13D-01A-13R-A12P-07	2.041041e-01	1.525401e+00	1.540638e+00	6.522185e-02	0	3.832764e+00	3.493605e+00	1.434164e-02	2.537841e-02
TCGA-A7-A13E-11A-61R-A12P-07	4.805455e-02	1.085005e+00	6.173007e-01	2.496590e+00	9.363003e-02	3.493441e+00	1.988404e+00	3.602748e-01	1.092744e+00
TCGA-A7-A13E-01A-11R-A12P-07	1.735835e-01	1.525903e+00	1.061562e+00	3.272512e-01	0	4.013885e+00	3.364632e+00	0	0
TCGA-A7-A13F-11A-42R-A12P-07	3.269756e-02	1.708077e+00	4.056137e-01	2.345586e+00	0	3.357789e+00	2.163576e+00	2.159405e-01	1.315003e+00
TCGA-A7-A13F-01A-11R-A12P-07	7.109073e-02	2.532941e-01	1.167712e+00	3.251299e-01	0	3.433411e+00	3.253305e+00	1.245675e+00	2.334260e+00
TCGA-A7-A13G-11A-51R-A13Q-07	0	0	2.251195e-01	3.195083e+00	0	4.094173e+00	2.001670e+00	4.035682e-01	3.938747e-01
