sampleID	D6.6_GNF2-SPRR1B	D8.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.2_MODULE-103	D7.2_RUNNE-GENDER-EFFECT-UP	D6.2_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON
TCGA-DA-A1IB-06A-11R-A18S-07	7.050301e-01	2.530147e+00	1.345134e+00	2.889530e+00	5.300555e-01
TCGA-DA-A1IC-06A-11R-A18S-07	7.721979e-01	9.366763e-01	2.216135e+00	3.377911e+00	4.838655e-01
TCGA-DA-A3F2-06A-11R-A20F-07	0	2.686154e+00	3.051989e+00	9.910201e-01	2.522407e+00
TCGA-DA-A3F3-06A-11R-A20F-07	1.440466e-02	1.173290e+00	2.073663e-01	2.000694e+00	1.750095e+00
TCGA-DA-A3F5-06A-11R-A20F-07	3.241721e-03	8.142843e-02	1.836853e+00	3.421709e+00	4.398586e+00
TCGA-DA-A3F8-06A-11R-A20F-07	1.152198e-01	2.489144e+00	1.222636e+00	2.251309e+00	1.284723e+00
TCGA-DA-A95V-06A-11R-A37K-07	5.703687e-02	1.864775e+00	3.028910e+00	7.355459e-01	5.021686e-01
TCGA-DA-A95W-06A-11R-A37K-07	0	1.330913e+00	9.440249e-01	1.331005e+00	1.297964e+00
TCGA-DA-A95X-06A-11R-A37K-07	0	1.152187e+00	1.498402e+00	3.676846e+00	1.807828e+00
TCGA-DA-A95Y-06A-11R-A37K-07	0	5.397936e-01	4.230177e+00	3.183068e+00	0
TCGA-DA-A95Z-06A-11R-A37K-07	0	7.459874e-01	1.662035e+00	2.101785e+00	7.979462e-01
TCGA-DA-A960-01A-11R-A37K-07	0	2.930765e-01	4.066341e+00	2.221639e+00	0
TCGA-EB-A1NK-01A-11R-A18T-07	1.200265e+00	6.907506e-01	3.407784e+00	2.821351e+00	1.601348e-01
TCGA-EB-A24C-01A-11R-A18T-07	1.103514e+00	6.428230e-01	9.272241e-01	2.482332e+00	9.093121e-01
TCGA-EB-A24D-01A-11R-A18T-07	6.801834e-01	1.144139e+00	5.188035e-01	2.413063e+00	2.240881e-01
TCGA-EB-A299-01A-21R-A18U-07	1.578321e+00	7.989904e-01	9.485629e-01	1.700978e+00	3.026508e+00
TCGA-EB-A3HV-01A-11R-A21D-07	1.386261e+00	7.827999e-01	1.910504e+00	9.499584e-01	3.028317e+00
TCGA-EB-A3XB-01A-11R-A239-07	6.330556e-01	9.279018e-01	2.471745e+00	3.369089e+00	6.189009e-02
TCGA-EB-A3XC-01A-11R-A239-07	1.111437e+00	6.344687e-01	2.639965e+00	3.046038e+00	7.560527e-01
TCGA-EB-A3XD-01A-22R-A239-07	1.541931e+00	1.526003e+00	1.845651e+00	1.222540e+00	1.389851e+00
TCGA-EB-A3XE-01A-12R-A239-07	1.329971e+00	1.213784e+00	1.784362e+00	6.747436e-01	1.681852e+00
TCGA-EB-A3XF-01A-31R-A239-07	1.066692e+00	1.114750e+00	7.744197e-01	2.355063e+00	9.572017e-01
TCGA-EB-A3Y6-01A-21R-A239-07	7.168202e-01	1.023081e+00	1.927313e+00	2.310469e+00	1.122296e+00
TCGA-EB-A3Y7-01A-11R-A239-07	6.121485e-01	4.153056e-01	5.385132e+00	1.248003e+00	0
TCGA-EB-A41A-01A-11R-A24X-07	7.178677e-01	6.261814e-01	1.750790e+00	3.192070e+00	0
TCGA-EB-A41B-01A-11R-A24X-07	7.671851e-02	7.239984e-01	2.913774e+00	2.618138e+00	2.615314e-01
TCGA-EB-A42Y-01A-12R-A24X-07	1.315511e-01	7.371130e-01	2.607654e+00	3.138441e+00	1.085109e+00
TCGA-EB-A42Z-01A-12R-A24X-07	1.264419e-01	8.165959e-01	2.217902e+00	2.321824e+00	2.933384e+00
TCGA-EB-A430-01A-11R-A24X-07	8.087086e-02	1.174970e+00	3.076063e+00	2.295827e+00	2.222752e-01
TCGA-EB-A431-01A-11R-A266-07	2.771392e-01	6.782573e-01	2.785317e+00	3.469400e+00	0
TCGA-EB-A44N-01A-11R-A266-07	1.469438e+00	1.285290e+00	6.723429e-01	1.823837e+00	2.054049e+00
TCGA-EB-A44O-01A-11R-A266-07	7.191982e-01	1.943388e-01	2.916031e+00	4.152115e+00	0
TCGA-EB-A44P-01A-11R-A266-07	6.361193e-01	7.477507e-01	1.272510e+00	2.440484e+00	1.662439e+00
TCGA-EB-A44Q-06A-11R-A266-07	0	2.098278e+00	2.093516e+00	3.003072e+00	0
TCGA-EB-A44R-06A-41R-A266-07	5.051039e-02	1.550215e+00	1.179543e+00	1.105212e+00	2.214990e+00
TCGA-EB-A4IQ-01A-12R-A266-07	1.565656e+00	2.297601e-01	2.308814e+00	2.525278e+00	6.253234e-01
TCGA-EB-A4IS-01A-21R-A266-07	4.249162e-01	2.068456e+00	1.243758e+00	2.391687e+00	1.488616e+00
