sampleID	D18.13_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D18.18_GNF2-TTN	D13.2_MIPS-UTX-MLL2-3-COMPLEX	D18.1_GNF2-MKI67	D8.8_NIELSEN-SYNOVIAL-SARCOMA-UP	D12.4_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D15.12_NIKOLSKY-BREAST-CANCER-12Q13-Q21-AMPLICON	D15.7_MODULE-211	D18.10_REACTOME-BETA-DEFENSINS	D12.8_REACTOME-BETA-DEFENSINS
TCGA-FX-A3NJ-01A-11R-A21T-07	1.875017e-01	0	1.674499e+00	1.839425e+00	1.891910e-02	3.231181e+00	0	0	7.008758e-02	7.144298e-01
TCGA-FX-A3NK-01A-11R-A21T-07	5.852598e-02	0	2.077993e+00	1.945213e+00	6.393823e-01	8.384201e-01	1.210804e+00	1.492224e+00	0	0
TCGA-FX-A3RE-01A-11R-A22K-07	0	0	1.645153e+00	2.069292e+00	7.366800e-01	8.379556e-01	9.368114e-01	6.275494e-01	0	1.752452e+00
TCGA-FX-A3TO-01A-11R-A22K-07	0	4.233617e-01	1.392336e+00	2.598007e+00	1.719619e-01	2.933441e-02	3.748919e-01	3.116245e-01	1.194072e+00	1.975894e-01
TCGA-FX-A48G-01A-11R-A24X-07	0	0	0	2.491737e+00	6.280848e-01	1.024819e+00	2.407359e-01	5.658046e-01	0	3.026779e+00
TCGA-FX-A76Y-01A-11R-A355-07	7.869946e-02	0	1.558469e+00	2.040499e+00	0	1.734619e+00	9.274074e-03	1.532869e-01	1.248383e-01	2.611936e+00
TCGA-FX-A8OO-01A-11R-A36F-07	0	0	1.845557e+00	2.148060e+00	2.823190e+00	2.195076e-01	0	0	0	2.779427e-01
TCGA-HB-A2OT-01A-11R-A21T-07	0	0	1.809322e+00	2.275253e+00	0	1.099569e-01	0	2.164768e+00	0	3.713251e-01
TCGA-HB-A3L4-01A-11R-A21T-07	0	0	1.503935e+00	2.896387e+00	2.874432e-01	1.076482e+00	4.647106e-02	2.532530e-01	0	2.684334e+00
TCGA-HB-A3YV-01A-11R-A24X-07	0	0	2.279329e+00	2.477241e+00	1.315693e+00	2.949995e-01	1.490275e+00	4.638228e-02	0	4.042129e-01
