sampleID	D5.3_RICKMAN-HEAD-AND-NECK-CANCER-D	D8.8_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D5.4_GNF2-SPRR1B	D11.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D10.6_GNF2-GLTSCR2
TCGA-JW-A5VJ-01A-11R-A28H-07	5.529373e-01	2.497148e-01	2.695401e+00	1.012653e+00	1.470504e+00
TCGA-JW-A5VK-01A-11R-A28H-07	0	3.103201e-01	1.738571e+00	8.639808e-01	1.904245e+00
TCGA-JW-A5VL-01A-11R-A28H-07	2.638440e-02	0	1.877244e+00	1.716576e+00	8.409449e-01
TCGA-JW-A69B-01A-11R-A32P-07	4.541738e+00	5.398124e-01	0	9.729736e-01	7.333014e-01
TCGA-JW-A852-01A-11R-A352-07	5.077723e-01	4.216966e-01	1.856611e+00	1.269586e+00	2.375772e+00
TCGA-JW-AAVH-01A-11R-A38B-07	1.663996e+00	2.682021e-01	2.608969e+00	8.825503e-01	1.128462e+00
TCGA-JX-A3PZ-01A-11R-A32Y-07	7.489989e-01	1.098322e-01	1.168052e-01	1.410731e+00	9.973890e-01
TCGA-JX-A3Q0-01A-11R-A32Y-07	8.846946e-01	1.491986e-01	2.188668e+00	1.708052e+00	8.156568e-01
TCGA-JX-A3Q8-01A-11R-A21T-07	3.409904e+00	2.931349e-01	0	1.418169e+00	9.092198e-01
TCGA-JX-A5QV-01A-22R-A28H-07	9.999704e-01	3.192714e-01	2.414172e+00	1.399833e+00	9.604112e-01
TCGA-LP-A4AU-01A-32R-A32Y-07	1.973145e+00	3.416352e-01	2.177338e+00	1.188193e+00	2.844591e-01
TCGA-LP-A4AV-01A-11R-A32Y-07	0	7.819492e-01	9.482020e-01	1.554410e+00	2.680063e+00
TCGA-LP-A4AW-01A-11R-A24H-07	8.230229e-01	1.341966e+00	2.131239e+00	9.654935e-01	1.099578e+00
TCGA-LP-A4AX-01A-12R-A24H-07	6.024572e-01	1.474565e-01	6.038444e-02	1.685673e+00	6.873420e-02
TCGA-LP-A5U2-01A-11R-A28H-07	3.267087e-01	6.734943e-02	7.378887e-01	1.291489e+00	1.090025e+00
TCGA-LP-A5U3-01A-11R-A28H-07	1.174392e+00	0	2.236108e+00	1.522544e+00	6.487265e-01
TCGA-LP-A7HU-01A-11R-A33Z-07	2.254593e+00	4.850023e-01	0	1.439978e+00	1.184985e+00
TCGA-MA-AA3W-01A-11R-A38B-07	1.290059e+00	4.138424e-01	1.682948e+00	1.804134e+00	3.405520e-01
TCGA-MA-AA3X-01A-22R-A42S-07	5.123328e-01	3.978876e-01	2.792971e+00	1.155861e+00	1.023283e+00
TCGA-MA-AA3Y-01A-11R-A38B-07	0	9.476410e-02	1.385439e+00	1.767309e+00	0
TCGA-MA-AA3Z-01A-11R-A38B-07	1.504987e+00	0	2.340378e+00	1.444579e+00	5.567776e-01
TCGA-MA-AA41-01A-11R-A38B-07	0	4.526153e-02	1.854776e+00	1.196184e+00	1.209858e+00
TCGA-MA-AA42-01A-12R-A38B-07	7.766187e-01	4.928902e-01	1.753743e+00	2.212095e+00	5.777486e-01
TCGA-MA-AA43-01A-11R-A42T-07	3.394496e-01	8.770600e-01	1.813223e+00	9.342072e-01	3.959811e-01
TCGA-MU-A51Y-01A-11R-A26T-07	1.729335e+00	8.528527e-01	2.728141e+00	1.607601e+00	6.538698e-01
