sampleID	D7.6_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.7_GNF2-SERPINB5	D13.11_RUNNE-GENDER-EFFECT-UP	D7.5_EPITHELIAL-CELL-DIFFERENTIATION	D14.5_ANASTASSIOU-CANCER-MESENCHYMAL-TRANSITION-SIGNATURE	D13.2_REACTOME-BETA-DEFENSINS	D13.4_PID-INTEGRIN4-PATHWAY	D13.3_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-DK-A3WY-01A-11R-A22U-07	1.395504e+00	1.365156e+00	0	3.231362e-01	4.873906e-02	4.192361e-01	4.645802e-01	8.267127e-01	2.331022e+00
TCGA-DK-A3X1-01A-12R-A22U-07	4.547911e-01	4.126430e-01	2.790416e-01	2.842142e-01	1.204166e+00	7.502524e-01	1.490617e+00	6.484824e-01	9.656015e-01
TCGA-DK-A3X2-01A-11R-A22U-07	0	8.424094e-02	1.292101e+00	9.032216e-01	4.468796e-01	2.343478e-01	9.400209e-01	4.732404e-01	2.076304e+00
TCGA-DK-A6AV-01A-12R-A30C-07	4.249135e-01	3.723558e-01	2.569891e-01	3.703607e-01	1.095957e+00	4.493630e-01	1.838647e+00	7.398398e-01	1.436084e+00
TCGA-DK-A6AW-01A-11R-A30C-07	4.475918e-01	4.127160e-01	0	1.419198e-01	1.248745e-01	1.760363e-02	1.745731e+00	7.860076e-01	1.263214e-01
TCGA-DK-A6B0-01A-11R-A31N-07	9.236013e-02	3.566271e-01	0	5.430360e-01	0	0	3.598527e+00	3.938224e-01	3.961973e-01
TCGA-DK-A6B1-01A-12R-A30C-07	4.487353e-01	2.941240e-01	0	5.567984e-01	1.457700e+00	0	6.626080e-01	2.148538e-01	8.023177e-01
TCGA-DK-A6B2-01A-11R-A30C-07	1.050484e+00	6.315353e-01	0	7.529043e-01	1.891429e+00	1.175546e+00	9.616142e-01	2.579088e-01	8.905795e-01
TCGA-DK-A6B5-01A-11R-A31N-07	2.863512e-01	7.809884e-01	1.183457e+00	6.435683e-01	4.966623e-01	5.548227e-01	6.508362e-01	4.534144e-01	4.518809e-01
TCGA-DK-A6B6-01A-11R-A30C-07	3.903814e-02	6.996481e-01	0	9.150101e-01	1.164907e+00	0	1.830423e+00	1.359469e-01	3.199308e-01
TCGA-DK-AA6L-01A-11R-A39I-07	2.481922e-01	6.028963e-01	7.519310e-01	8.058602e-01	5.067416e-01	6.375261e-01	1.405011e+00	4.048056e-01	0
TCGA-DK-AA6M-01A-11R-A39I-07	3.678681e-01	9.704509e-01	8.510772e-01	1.449616e-01	0	6.954655e-01	5.925011e-01	1.915030e+00	3.099151e-01
TCGA-DK-AA6P-01A-11R-A39I-07	3.829460e-01	1.095087e-01	0	4.097553e-01	1.039256e+00	9.874363e-02	2.155521e+00	1.508273e-01	2.677720e+00
TCGA-DK-AA6Q-01A-11R-A39I-07	1.627023e-01	6.915635e-01	1.428322e+00	0	0	1.262789e-01	6.731783e-01	1.428821e+00	9.425305e-01
TCGA-DK-AA6R-01A-11R-A42T-07	2.471528e-01	4.475389e-01	2.042807e+00	4.521714e-01	2.947379e-01	6.244736e-01	8.409830e-02	2.170804e+00	3.626758e-01
