sampleID	D15.15_GNF2-BUB1	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D12.10_AIGNER-ZEB1-TARGETS	D8.3_BOYAULT-LIVER-CANCER-SUBCLASS-G56-UP	D10.8_chr11q11	D19.17_MODULE-78	D14.1_REACTOME-RECYCLING-OF-BILE-ACIDS-AND-SALTS	D19.16_CHIANG-LIVER-CANCER-SUBCLASS-POLYSOMY7-UP	D17.9_REACTOME-BETA-DEFENSINS	D19.5_THUM-MIR21-TARGETS-HEART-DISEASE-UP	D17.12_REACTOME-BETA-DEFENSINS	D14.4_MIPS-UTX-MLL2-3-COMPLEX	D14.7_RUNNE-GENDER-EFFECT-UP	D17.17_LY-AGING-MIDDLE-DN
TCGA-CC-5264-01A-01R-A131-07	1.189195e-01	1.274185e-02	1.486977e-01	8.186617e-02	2.703808e-02	0	1.239160e+00	0	2.450755e-01	0	2.663900e-01	1.703364e+00	1.547445e+00	5.333632e-01
TCGA-CC-A123-01A-11R-A131-07	0	0	0	8.688071e-01	7.993190e-01	0	4.773075e-01	0	1.615669e+00	0	5.704085e-01	7.130573e-01	1.994618e+00	0
TCGA-CC-A1HT-01A-11R-A131-07	2.459210e-01	5.103085e-01	6.379355e-01	1.108072e+00	0	0	8.908982e-03	0	0	1.666529e-01	1.902558e-01	1.306992e+00	1.334628e+00	6.386332e-02
TCGA-CC-A3M9-01A-11R-A213-07	0	5.057000e-01	8.540892e-02	1.565996e+00	0	0	0	0	0	6.364744e-01	0	1.247674e+00	2.672998e+00	0
TCGA-CC-A3MA-01A-11R-A213-07	0	0	1.134338e+00	1.105587e+00	2.343208e-01	0	1.303743e+00	0	0	8.129194e-01	0	7.359535e-01	1.373925e+00	0
TCGA-CC-A3MB-01A-11R-A213-07	0	0	7.770721e-02	4.827156e-01	4.254268e-01	1.068189e-02	1.194371e+00	2.230327e-01	2.978416e-01	1.216552e-03	2.070729e-02	1.481018e+00	1.099980e+00	7.181931e-03
TCGA-CC-A3MC-01A-11R-A22L-07	0	0	1.706547e-01	5.446031e-01	0	3.962190e-01	1.034777e+00	1.277454e-02	0	5.591272e-01	2.367802e-01	9.272564e-01	1.095978e+00	3.422223e-01
TCGA-CC-A5UC-01A-11R-A28V-07	0	9.293718e-02	1.667879e-01	1.100205e+00	9.006197e-01	5.341401e-02	6.565856e-01	0	1.228698e+00	4.694434e-01	7.235153e-02	9.527817e-01	1.590840e+00	0
TCGA-CC-A5UD-01A-11R-A28V-07	0	0	4.475535e-01	4.064367e+00	0	0	0	0	0	1.508644e-01	0	5.237771e-01	1.669374e+00	2.350852e-01
TCGA-CC-A5UE-01A-11R-A28V-07	0	0	2.393477e-01	1.327743e+00	1.722272e-01	0	8.326489e-01	0	4.993587e-01	0	0	1.106849e+00	1.634447e+00	8.066429e-03
TCGA-CC-A7IE-01A-21R-A38B-07	0	2.239145e-01	3.037371e-01	1.211626e+00	5.787482e-01	1.066762e-01	0	0	1.601657e+00	2.027973e-01	0	1.077035e+00	1.420484e+00	0
TCGA-CC-A7IF-01A-11R-A33J-07	0	0	2.646584e-01	4.212735e-01	0	2.139242e-01	2.372142e+00	3.037585e-01	3.787511e-01	3.712195e-01	0	8.419663e-01	1.285961e+00	1.246006e-01
TCGA-CC-A7IG-01A-11R-A33J-07	0	0	3.335024e-01	2.810766e-01	0	1.126417e-01	0	2.744135e-02	5.207949e-01	4.271874e-01	9.263130e-02	5.520576e-01	1.160463e+00	3.176647e-01
TCGA-CC-A7IH-01A-11R-A33J-07	0	4.203230e-02	0	4.721860e+00	9.175348e-02	0	1.486724e+00	5.308312e-02	0	8.727152e-02	7.258263e-04	6.858832e-01	1.196600e+00	0
TCGA-CC-A7II-01A-11R-A33J-07	7.143287e-02	0	6.716839e-01	4.581860e-01	0	0	0	0	7.013346e-01	2.825113e-01	2.617669e-01	8.200113e-01	3.081320e+00	0
TCGA-CC-A7IJ-01A-11R-A33R-07	0	2.963497e-01	2.233098e-01	2.098843e+00	0	3.484418e-02	0	0	0	8.380924e-01	0	1.174000e+00	2.544647e+00	0
TCGA-CC-A7IK-01A-12R-A33R-07	2.027268e-01	0	0	5.399068e+00	0	0	3.469347e-01	0	0	0	0	7.461912e-01	1.921077e+00	0
TCGA-CC-A7IL-01A-11R-A33R-07	0	0	0	3.033300e+00	0	1.658830e-01	1.706634e+00	2.149898e-01	0	0	0	5.997952e-01	1.033081e+00	0
TCGA-CC-A8HS-01A-11R-A36F-07	0	0	2.192316e-01	1.875026e-01	0	3.684297e-03	4.729076e-01	4.848742e-02	1.292361e+00	3.238302e-01	0	1.536538e+00	1.432583e+00	1.814645e-01
TCGA-CC-A8HT-01A-11R-A36F-07	3.970742e-01	2.664157e-01	1.335244e-01	8.450218e-01	0	4.150387e-02	7.319444e-01	6.627953e-02	3.564662e-01	0	3.624507e-02	1.146591e+00	1.207524e+00	2.544737e-01
TCGA-CC-A8HU-01A-11R-A36F-07	2.098270e-01	0	2.434100e-02	2.860539e-01	0	3.882462e-01	7.619816e-01	2.807591e-01	9.478736e-01	7.856138e-02	0	1.177953e+00	1.450868e+00	2.988022e-01
TCGA-CC-A8HV-01A-11R-A36F-07	0	0	4.657137e-01	0	0	1.586859e-01	0	3.264590e-01	8.166457e-01	3.411476e-01	3.002170e-01	1.149532e+00	7.563010e-01	8.179176e-02
TCGA-CC-A9FS-01A-11R-A37K-07	0	8.046802e-02	5.143706e-02	1.493564e+00	2.985006e-01	0	2.681731e+00	1.161195e-02	5.803476e-01	0	9.740825e-02	1.071997e+00	1.723776e+00	0
