sampleID	D20.18_BRCA-Her2+	D29.14_Nonspecific	D28.6_UCEC	D29.25_Nonspecific	D28.23_TGCT	D28.16_Nonspecific	D29.10_PRAD	D29.22_SKCM	D28.19_LIHC	D29.27_LUAD	D28.11_BRCA-Chr8qAmp	D29.26_STAD+ESCA(Digestive)	D29.13_GBM+LGG	D27.13_BRCA-Luminal	D29.24_BLCA	D29.9_PCPG	D14.8_KIRC+KIRP(Pan-Kidney)	D21.5_COAD+STAD+ESCA(Pan-GI)	D27.24_BRCA-Basal	D21.12_THCA	D16.12_Pan-Squamous	D28.15_ACC	D29.18_NA	D29.1_NA	D20.2_NA
LGGx_D032E98E_01EF_40D9_A839_F88F5E1F3DAF_X017_S03_L006_B1_T2_P045	0	7.222357e-01	0	0	0	0	6.844708e-02	0	0	0	2.552679e-01	0	5.525523e+00	0	0	1.394208e+00	0	0	0	0	0	0	3.311369e-01	1.162227e+00	0
LGGx_F649997E_20A9_43A5_B8ED_6C21363E4123_X036_S01_L025_B1_T1_P094	0	7.871604e-01	0	0	2.382142e-01	7.264569e-01	0	9.911819e-01	0	0	1.263993e-01	0	5.185793e+00	0	0	2.217970e+00	0	0	0	0	0	0	1.101233e+00	1.686857e+00	1.050654e+00
LGGx_F649997E_20A9_43A5_B8ED_6C21363E4123_X036_S01_L026_B1_T2_P095	0	7.712930e-01	0	0	2.135075e-01	7.360310e-01	0	9.588491e-01	0	0	1.393148e-01	0	5.263445e+00	0	0	2.170034e+00	0	0	0	0	0	0	1.107801e+00	1.677386e+00	1.047699e+00
LGGx_FC0365FE_DE25_4407_8951_F8D85551FBC3_X016_S10_L065_B1_T1_P032	0	3.310699e-01	0	0	0	1.404845e+00	0	7.839087e-02	0	0	2.218073e-01	0	4.285676e+00	0	0	1.008424e+00	8.569681e-01	0	7.721080e-02	0	2.125428e-02	6.087819e-01	7.651656e-01	2.392348e+00	7.374286e-01
LGGx_FC0365FE_DE25_4407_8951_F8D85551FBC3_X016_S10_L066_B1_T2_P031	0	4.061894e-01	0	0	0	1.356921e+00	0	2.216375e-01	0	0	2.013340e-01	0	4.091627e+00	0	0	1.124926e+00	7.468859e-01	0	1.596018e-02	0	0	5.211516e-01	8.081452e-01	2.722648e+00	9.323302e-01
LIHC_1916FDF9_2E1A_4B05_B5C6_98D5DBEA8488_X036_S08_L039_B1_T1_P104	0	8.476429e-01	3.309972e+00	0	0	7.650346e-01	0	0	3.119353e+00	0	9.421693e-01	4.788074e-01	0	0	0	3.846003e-01	4.308135e-01	0	0	0	0	4.698077e-01	0	3.460859e+00	1.908970e+00
LIHC_1916FDF9_2E1A_4B05_B5C6_98D5DBEA8488_X036_S08_L040_B1_T2_P097	0	8.778059e-01	3.199265e+00	0	0	7.240142e-01	0	3.040242e-02	3.064981e+00	0	9.183558e-01	4.224747e-01	0	0	0	4.561091e-01	2.792193e-01	0	0	0	0	4.706786e-01	0	3.767386e+00	2.150420e+00
LIHC_273EAF94_CC00_4303_B5FA_D097580CB5E6_X029_S04_L007_B1_T1_P074	0	8.463564e-01	0	1.081294e-01	1.922457e-01	2.422390e-02	0	5.394703e-01	4.101003e+00	0	0	0	0	0	0	1.054556e+00	5.660355e-01	8.745556e-02	0	0	0	1.649621e-01	9.322187e-01	5.363329e+00	3.267323e+00
LIHC_273EAF94_CC00_4303_B5FA_D097580CB5E6_X029_S04_L008_B1_T2_P070	0	8.021757e-01	0	9.628961e-02	1.857983e-01	4.759563e-02	0	5.062014e-01	4.146368e+00	0	0	0	0	0	0	9.236074e-01	5.716672e-01	5.868680e-02	0	0	0	2.270865e-01	9.490195e-01	4.961107e+00	2.991134e+00
LIHC_310B2961_4223_4541_AE8B_C22E20775318_X027_S06_L087_B1_T1_P065	0	5.950500e-01	4.787285e-01	0	2.907959e-01	1.184503e-01	0	1.725594e-01	4.464015e+00	0	1.094432e+00	0	0	0	0	5.364597e-01	2.272454e-02	0	0	1.140390e-01	0	1.579126e-02	4.863840e-01	5.071965e+00	2.711782e+00
LIHC_310B2961_4223_4541_AE8B_C22E20775318_X027_S06_L088_B1_T2_P062	0	6.495020e-01	4.834874e-01	0	2.888159e-01	8.519305e-02	0	1.652583e-01	4.401271e+00	0	1.122149e+00	0	0	0	0	6.117814e-01	8.260741e-02	0	0	0	0	0	5.191089e-01	5.510686e+00	2.766067e+00
