sampleID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
Pancreas_54304	3.543400e-02	1.787612e-01	6.723520e-02	3.924074e-02	1.971790e-01	2.669798e-01	1.437515e-01	3.389695e-01	4.011922e-02	2.482159e-01	1.027984e-01	1.246368e-01	0	1.011768e-01	1.385640e-01	3.105243e-01
Pancreas_54305	5.193498e-02	2.552718e-01	4.673651e-02	6.917336e-03	2.331061e-01	2.603509e-01	1.288900e-01	3.387864e-01	1.155608e-02	2.347482e-01	1.749204e-01	6.259639e-02	2.396068e-02	8.780941e-02	1.015668e-01	2.606583e-01
Pancreas_54309	8.774669e-02	7.292572e-02	2.612413e-02	4.178553e-01	1.634559e-01	2.741659e-01	1.100711e-01	2.601055e-01	9.045657e-02	1.228827e-01	7.458732e-02	2.226441e-02	1.155853e-01	0	1.356504e-01	2.891514e-01
Pancreas_54306	9.188751e-02	1.360484e-01	4.128887e-02	1.459469e-01	2.030699e-01	2.754373e-01	3.932907e-02	3.165606e-01	4.030487e-02	2.693943e-01	8.257769e-02	3.281452e-02	8.346962e-02	8.290340e-02	4.856886e-02	2.155570e-01
Pancreas_54307	7.681841e-02	1.997945e-01	7.477906e-02	2.933349e-02	2.251004e-01	3.027367e-01	7.795377e-02	3.837620e-01	8.842602e-02	2.374038e-01	1.142911e-01	7.764268e-02	0	8.452692e-02	1.087135e-01	2.341728e-01
Pancreas_54292	2.782820e-02	2.934482e-01	5.445894e-03	2.804087e-01	2.166568e-01	2.611969e-01	3.374396e-01	2.064776e-01	0	5.501259e-02	1.364732e-02	2.865920e-02	6.500313e-02	0	2.140059e-01	2.844254e-01
Pancreas_54243	7.386342e-02	3.753586e-02	1.363101e-02	4.908497e-02	2.633168e-01	3.273688e-01	5.181049e-01	1.903053e-01	0	1.478408e-01	0	1.217846e-01	8.493340e-02	4.614917e-02	1.648906e-01	2.912087e-01
Pancreas_54308	4.708965e-02	2.124346e-01	7.414989e-02	1.485315e-02	2.106415e-01	3.213395e-01	7.354619e-02	3.997165e-01	5.995128e-02	2.584555e-01	4.477685e-02	9.304281e-02	0	1.313893e-01	1.286370e-01	2.560230e-01
Pancreas_54293	1.671010e-02	1.906904e-01	5.909902e-02	0	2.142764e-01	3.053963e-01	3.965750e-01	2.408849e-01	4.558750e-02	7.634084e-02	2.651672e-01	7.651915e-02	0	1.370540e-01	1.931913e-01	2.878067e-01
Pancreas_54310	5.869022e-02	2.896317e-01	5.970220e-02	9.775773e-03	1.888934e-01	2.327657e-01	8.479314e-02	3.612844e-01	1.608133e-02	2.741701e-01	8.026903e-02	9.936002e-02	2.009234e-02	9.434637e-02	1.408405e-01	2.243160e-01
Pancreas_54315	9.947914e-02	6.133558e-02	1.136174e-02	1.455965e-01	1.862304e-01	3.693039e-01	1.553059e-01	3.487992e-01	2.709359e-02	2.512228e-01	0	6.998746e-03	7.447132e-02	1.523633e-01	1.015388e-01	2.198845e-01
Pancreas_54311	4.443305e-02	2.147355e-01	5.772408e-02	3.260003e-02	1.973678e-01	2.493586e-01	9.599244e-02	3.722531e-01	0	2.229891e-01	1.846348e-02	1.535320e-01	7.614072e-02	1.405695e-01	1.132465e-01	2.319958e-01
Pancreas_54312	7.922646e-02	1.302954e-01	2.824583e-02	2.136549e-01	1.923275e-01	2.438374e-01	1.233838e-01	2.959318e-01	0	2.507961e-01	0	8.254643e-02	8.763701e-02	6.883988e-02	6.818113e-02	2.457837e-01
