geneID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
LOC728450	3.947458e-01	2.621171e-01	5.003418e-01	6.032456e-01	1.318460e+00	1.897899e+00	1.193935e+00	2.360407e-01	4.132280e-01	2.124705e-01	4.651443e-01	1.961392e-01	2.034538e-01	3.463083e-01	9.596062e-01	1.414096e+00
LOC728460	3.427191e-01	1.458654e-01	3.996283e-01	3.643920e-01	2.758896e-01	2.727590e-01	7.601673e-02	2.622187e-01	3.168481e-01	0	1.898625e-01	2.921948e-01	0	3.010118e-01	0	6.264160e-01
LOC728485	4.698725e-01	2.565028e-01	3.223306e-01	3.171189e-01	4.886987e-01	0	5.445128e-01	1.194658e+00	8.021479e-02	9.282823e-02	9.545374e-02	0	1.027031e+00	0	8.817331e-01	0
LOC728516	2.085538e-01	1.233405e-02	3.617216e-01	1.113576e-01	0	2.284192e+00	4.784733e-01	4.137739e-01	1.963491e-01	1.709317e-01	2.598719e-01	6.902071e-02	2.166241e-01	4.380436e-01	4.826583e-01	2.435945e+00
LOC728533	9.574086e-01	1.078833e+00	1.178602e+00	9.423792e-01	1.173601e+00	1.396995e+00	1.436578e+00	1.531931e+00	1.055440e+00	9.191329e-01	7.882542e-01	7.320770e-01	1.222122e+00	1.049915e+00	1.517618e+00	1.127209e+00
LOC728537	8.725773e-01	7.988203e-01	1.727440e-01	1.486119e+00	0	3.865244e-01	1.577181e+00	6.349080e-01	1.107765e+00	6.629107e-01	7.993599e-01	1.337310e-01	4.851601e-01	0	4.421363e+00	2.544425e-01
LOC728543	1.442788e-01	4.499398e-02	7.334622e-02	3.205885e-01	1.702916e-01	0	3.477511e-01	6.179362e-01	1.321491e-03	0	9.792068e-02	0	1.877792e-01	2.577737e-01	3.787947e-01	8.602080e-02
LOC728564	2.566038e-01	1.766000e-01	4.253800e-01	1.694129e-01	3.063813e-01	1.670376e+00	4.315238e-01	1.758108e-01	2.133804e-01	3.629024e-01	1.597930e-01	0	3.038652e-01	4.644916e-01	6.080976e-01	6.343829e-01
LOC728611	7.062613e-01	7.121061e-01	1.151960e+00	8.709083e-01	4.810493e-01	1.181389e+00	8.057440e-01	1.537051e+00	7.631107e-01	5.872743e-01	1.069750e+00	8.628601e-01	9.802655e-01	1.419708e+00	1.277125e+00	1.007061e+00
LOC728613	1.080901e+00	4.840744e-01	1.369488e+00	1.206566e+00	0	0	1.217448e+00	1.449248e+00	6.058730e-01	0	1.940750e-01	6.722371e-01	5.691103e-01	0	3.152843e+00	0
LOC728640	6.662690e-01	1.182328e-01	4.454907e-01	7.003140e-01	1.055343e-01	1.196194e+00	2.453795e+00	9.133374e-01	4.135616e-01	5.256942e-01	6.952716e-01	1.655071e-01	4.643576e-01	3.938650e-01	1.676332e+00	1.473950e+00
LOC728698	1.111558e+00	1.164988e+00	1.365487e+00	1.009227e+00	8.264717e-01	1.324902e+00	1.164178e+00	2.420056e+00	1.074551e+00	1.003703e+00	1.190535e+00	5.045230e-01	1.194335e+00	9.031560e-01	1.091636e+00	1.583081e+00
LOC728705	1.155095e+00	5.503931e-01	2.303330e+00	1.020756e+00	0	3.328265e-02	2.218689e-01	1.728040e+00	1.156927e+00	3.791871e-01	1.403276e+00	0	2.701778e+00	0	1.366926e+00	0
LOC728723	1.176541e+00	1.133441e+00	1.419752e+00	1.122215e+00	1.706774e+00	1.162959e+00	1.605710e+00	2.209344e+00	1.070161e+00	7.292095e-01	9.479255e-01	6.270449e-01	1.270879e+00	1.138789e+00	1.363916e+00	1.400919e+00
LOC728732	1.109158e+00	1.294354e+00	1.349242e+00	1.169393e+00	1.761472e+00	1.288039e+00	1.390967e+00	2.342903e+00	1.163866e+00	8.731006e-01	1.258811e+00	5.630198e-01	1.265449e+00	1.089617e+00	1.321847e+00	1.541145e+00
LOC728763	7.374305e-01	1.072740e+00	3.544110e-01	0	0	4.977248e-01	1.052764e+00	0	1.868031e+00	1.971550e-01	5.726429e-01	0	0	0	1.931392e+00	6.789053e-01
LOC728769	5.546956e-01	7.773486e-01	3.810269e-01	1.056741e+00	5.520068e-02	7.194533e-01	6.534256e-01	2.153823e+00	1.051716e+00	5.238996e-01	9.809985e-01	9.978264e-01	1.531372e+00	6.597019e-01	1.456633e+00	4.607952e-01
LOC728774	7.248181e-01	1.056633e+00	1.297175e+00	1.674380e+00	0	0	7.494873e-01	1.936935e+00	5.606161e-01	5.114603e-01	1.089013e+00	0	5.785984e-01	1.131193e+00	1.133638e+00	5.235391e-01
LOC728820	1.071159e+00	1.129434e+00	1.411877e+00	1.575906e+00	2.358532e+00	1.071021e+00	1.182322e+00	2.191952e+00	9.926182e-01	6.084509e-01	1.172882e+00	7.784166e-01	9.651753e-01	1.054962e+00	1.270095e+00	9.460127e-01
LOC728853	3.660244e-01	6.728793e-01	4.829860e-01	8.062890e-01	2.036951e-01	1.391918e-01	7.588036e-01	3.981708e-01	8.277108e-01	7.441462e-01	9.533790e-01	0	1.611757e+00	1.067601e-01	8.406416e-01	2.562875e-01
LOC728855	1.315104e+00	1.306805e+00	9.182326e-01	1.437538e+00	1.120877e+00	1.055180e+00	1.656926e+00	1.100553e+00	1.010712e+00	8.609875e-01	7.339770e-01	7.704028e-01	1.389501e+00	1.453793e+00	2.169218e+00	9.021003e-01
LOC728875	1.536767e+00	1.394122e+00	1.381001e+00	1.495798e+00	1.262048e+00	1.341522e+00	1.754587e+00	1.494112e+00	1.265131e+00	9.105595e-01	9.807590e-01	1.033630e+00	1.550808e+00	1.590691e+00	2.011510e+00	1.307293e+00
LOC728904	2.823675e-01	0	2.508082e-01	7.594216e-01	3.193270e-01	5.724399e-01	5.128069e-01	6.804023e-01	1.975619e-01	0	3.645686e-01	0	0	1.448447e-01	3.818201e-01	1.905731e+00
LOC728927	3.790491e-01	3.687347e-01	4.107178e-01	5.997391e-01	2.143963e-01	0	3.401391e-01	1.375003e+00	2.240169e-01	4.266808e-02	2.502052e-01	0	7.515020e-01	1.719380e-01	1.262547e+00	0
LOC728971	1.381697e+00	1.219807e+00	1.574222e+00	1.397604e+00	1.483453e+00	1.527480e+00	1.477161e+00	2.547950e+00	1.279004e+00	7.848156e-01	1.251904e+00	5.975980e-01	1.504764e+00	1.074799e+00	1.519975e+00	1.596901e+00
LOC729029	9.177392e-01	7.901551e-01	7.024623e-01	1.471026e+00	1.254564e+00	3.560440e-01	1.360799e+00	7.433978e-01	8.178283e-01	0	2.684813e-01	4.888259e-01	8.999160e-01	7.181726e-01	3.130429e+00	0
LOC729046	1.298860e+00	1.107416e+00	1.421043e+00	1.528082e+00	1.290650e+00	1.400716e+00	1.485705e+00	2.257260e+00	1.096391e+00	6.478362e-01	1.340566e+00	2.672107e-01	1.302512e+00	9.307087e-01	1.846905e+00	1.489014e+00
